#F nifilm-tof-4.dat
#D 2011-01-19 22:06:12
#C Title: Simulated 100 A Ni film
#C Detector Angle: (3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
2.670895772120566170e-01 2.352439675733022494e-03 6.712610605549190478e-07 1.023663864304219252e-07 2.462368728389409789e+00
2.724313687562977537e-01 2.399488469247683213e-03 8.406522649129826221e-07 1.133535759379398490e-07 2.414086988617068386e+00
2.778799961314236677e-01 2.447478238632636981e-03 7.972836872396775913e-07 1.084966107095366665e-07 2.366751949624577023e+00
2.834375960540522210e-01 2.496427803405290493e-03 6.475715281913353247e-07 9.875376422961926615e-08 2.320345048651545561e+00
2.891063479751332377e-01 2.546356359473395982e-03 7.987719501225261527e-07 1.107697836242759733e-07 2.274848086913280110e+00
2.948884749346359357e-01 2.597283486662863797e-03 5.640558847788279299e-07 9.400934066351208315e-08 2.230243222463999864e+00
3.007862444333286311e-01 2.649229156396120353e-03 3.196316680413392574e-07 7.147182520109059153e-08 2.186512963200000215e+00
3.068019693219951605e-01 2.702213739524043316e-03 5.405174005888751361e-08 3.120678761026699347e-08 2.143640160000000350e+00
3.129380087084350781e-01 2.756258014314524538e-03 5.727179922958978619e-08 3.306588975425725726e-08 2.101608000000000143e+00
3.191967688826038430e-01 2.811383174600814907e-03 1.947241173806069870e-08 1.947241211723551370e-08 2.060400000000000009e+00
3.255807042602558710e-01 2.867610838092830849e-03 1.986185997282187039e-08 1.986186036731534572e-08 2.020000000000000018e+00
