# z rho mu P theta
66.1628 3.84559e-07 5.11194e-09 0 270
66.1628 5.0748e-07 5.04438e-09 0 270
66.6894 5.0748e-07 5.04438e-09 0 270
66.6894 6.40836e-07 4.97108e-09 0 270
67.216 6.40836e-07 4.97108e-09 0 270
67.216 7.83059e-07 4.89291e-09 0 270
67.7427 7.83059e-07 4.89291e-09 0 270
67.7427 9.32264e-07 4.8109e-09 0 270
68.2693 9.32264e-07 4.8109e-09 0 270
68.2693 1.0863e-06 4.72623e-09 0 270
68.796 1.0863e-06 4.72623e-09 0 270
68.796 1.2036e-06 4.66176e-09 0 270
69.0593 1.2036e-06 4.66176e-09 0 270
69.0593 1.31218e-06 4.60208e-09 0 270
69.5264 1.31218e-06 4.60208e-09 0 270
69.5264 1.51907e-06 4.48837e-09 0 270
70.4607 1.51907e-06 4.48837e-09 0 270
70.4607 1.78259e-06 4.34353e-09 0 270
71.395 1.78259e-06 4.34353e-09 0 270
71.395 2.0219e-06 4.21199e-09 0 270
72.3293 2.0219e-06 4.21199e-09 0 270
72.3293 2.22899e-06 4.09817e-09 0 270
73.2636 2.22899e-06 4.09817e-09 0 270
73.2636 2.39976e-06 4.00431e-09 0 270
74.1979 2.39976e-06 4.00431e-09 0 270
74.1979 2.53395e-06 3.93055e-09 0 270
75.1322 2.53395e-06 3.93055e-09 0 270
75.1322 2.63445e-06 3.87531e-09 0 270
76.0665 2.63445e-06 3.87531e-09 0 270
76.0665 2.70616e-06 3.8359e-09 0 270
77.0008 2.70616e-06 3.8359e-09 0 270
77.0008 2.75492e-06 3.8091e-09 0 270
77.9351 2.75492e-06 3.8091e-09 0 270
77.9351 2.78651e-06 3.79174e-09 0 270
78.8694 2.78651e-06 3.79174e-09 0 270
78.8694 2.80599e-06 3.78103e-09 0 270
79.8037 2.80599e-06 3.78103e-09 0 270
79.8037 2.8174e-06 3.77475e-09 0 270
80.738 2.8174e-06 3.77475e-09 0 270
80.738 2.82367e-06 3.77131e-09 0 270
81.6723 2.82367e-06 3.77131e-09 0 270
81.6723 2.82672e-06 3.76963e-09 0 270
82.6066 2.82672e-06 3.76963e-09 0 270
82.6066 2.82762e-06 3.76914e-09 0 270
83.5409 2.82762e-06 3.76914e-09 0 270
83.5409 2.82672e-06 3.76963e-09 0 270
84.4752 2.82672e-06 3.76963e-09 0 270
84.4752 2.82367e-06 3.77131e-09 0 270
85.4095 2.82367e-06 3.77131e-09 0 270
85.4095 2.8174e-06 3.77475e-09 0 270
86.3438 2.8174e-06 3.77475e-09 0 270
86.3438 2.80599e-06 3.78103e-09 0 270
87.2781 2.80599e-06 3.78103e-09 0 270
87.2781 2.78651e-06 3.79174e-09 0 270
88.2124 2.78651e-06 3.79174e-09 0 270
88.2124 2.75492e-06 3.8091e-09 0 270
89.1467 2.75492e-06 3.8091e-09 0 270
89.1467 2.70616e-06 3.8359e-09 0 270
90.081 2.70616e-06 3.8359e-09 0 270
90.081 2.63445e-06 3.87531e-09 0 270
91.0153 2.63445e-06 3.87531e-09 0 270
91.0153 2.53395e-06 3.93055e-09 0 270
91.9496 2.53395e-06 3.93055e-09 0 270
91.9496 2.39976e-06 4.00431e-09 0 270
92.8839 2.39976e-06 4.00431e-09 0 270
92.8839 2.22899e-06 4.09817e-09 0 270
93.8182 2.22899e-06 4.09817e-09 0 270
93.8182 2.0219e-06 4.21199e-09 0 270
94.7525 2.0219e-06 4.21199e-09 0 270
94.7525 1.78259e-06 4.34353e-09 0 270
95.6868 1.78259e-06 4.34353e-09 0 270
95.6868 1.51907e-06 4.48837e-09 0 270
96.6211 1.51907e-06 4.48837e-09 0 270
96.6211 1.31218e-06 4.60208e-09 0 270
97.0882 1.31218e-06 4.60208e-09 0 270
97.0882 1.2036e-06 4.66176e-09 0 270
97.3515 1.2036e-06 4.66176e-09 0 270
97.3515 1.0863e-06 4.72623e-09 0 270
97.8782 1.0863e-06 4.72623e-09 0 270
97.8782 9.32264e-07 4.8109e-09 0 270
98.4048 9.32264e-07 4.8109e-09 0 270
98.4048 7.83059e-07 4.89291e-09 0 270
98.9315 7.83059e-07 4.89291e-09 0 270
98.9315 6.40836e-07 4.97108e-09 0 270
99.4581 6.40836e-07 4.97108e-09 0 270
99.4581 5.0748e-07 5.04438e-09 0 270
99.9847 5.0748e-07 5.04438e-09 0 270
99.9847 3.84559e-07 5.11194e-09 0 270
100.511 3.84559e-07 5.11194e-09 0 270
100.511 2.73292e-07 5.1731e-09 0 270
101.038 2.73292e-07 5.1731e-09 0 270
101.038 1.74556e-07 5.22737e-09 0 270
101.565 1.74556e-07 5.22737e-09 0 270
101.565 8.89002e-08 5.27445e-09 0 270
102.091 8.89002e-08 5.27445e-09 0 270
102.091 1.66023e-08 5.31418e-09 0 270
102.618 1.66023e-08 5.31418e-09 0 270
102.618 -4.22758e-08 5.34655e-09 0 270
103.145 -4.22758e-08 5.34655e-09 0 270
103.145 -8.78155e-08 5.37158e-09 0 270
103.671 -8.78155e-08 5.37158e-09 0 270
