# Q dQ R dR fit
0.33982 0.0038904 1.34261e-06 3.64765e-07 4.80279e-07
0.343483 0.0039321 5.03494e-07 2.12412e-07 4.29084e-07
0.347145 0.00397378 7.51497e-07 2.62941e-07 3.98549e-07
0.350806 0.00401545 5.00823e-07 2.11285e-07 4.3619e-07
0.354467 0.0040571 6.69573e-07 2.47209e-07 4.46256e-07
0.358128 0.00409873 7.52658e-07 2.63348e-07 4.06057e-07
0.361787 0.00414035 5.03467e-07 2.124e-07 3.92405e-07
0.365446 0.00418195 4.19937e-07 1.9304e-07 4.21261e-07
0.369104 0.00422353 5.88548e-07 2.3109e-07 4.15482e-07
0.372761 0.0042651 8.41357e-07 2.80706e-07 3.78931e-07
0.376418 0.00430665 3.37179e-07 1.72361e-07 3.82885e-07
0.380074 0.00434819 4.19676e-07 1.92919e-07 3.99592e-07
0.383729 0.00438971 4.18039e-07 1.92167e-07 3.79668e-07
0.387384 0.00443121 4.18796e-07 1.92515e-07 3.59755e-07
0.391037 0.00447269 5.85634e-07 2.29946e-07 3.67673e-07
0.39469 0.00451416 3.35446e-07 1.71476e-07 3.70539e-07
0.398343 0.00455561 6.70061e-07 2.4739e-07 3.51745e-07
0.401994 0.00459704 3.35769e-07 1.71641e-07 3.41312e-07
0.405645 0.00463845 5.02398e-07 2.11949e-07 3.48738e-07
0.409294 0.00467985 5.88078e-07 2.30905e-07 3.44735e-07
0.412943 0.00472122 4.1827e-07 1.92273e-07 3.30548e-07
0.416592 0.00476258 8.37709e-07 2.79489e-07 3.36168e-07
0.420239 0.00480392 6.6844e-07 2.46791e-07 3.66824e-07
0.423886 0.00484524 8.38696e-08 8.43426e-08 4.16026e-07
0.427531 0.00488654 6.70751e-07 2.47645e-07 4.64975e-07
0.431176 0.00492783 6.71896e-07 2.48067e-07 4.64898e-07
0.43482 0.00496909 8.37912e-07 2.79557e-07 4.00086e-07
0.438463 0.00501033 8.36224e-07 2.78993e-07 3.23402e-07
0.442106 0.00505156 4.18762e-07 1.925e-07 2.82701e-07
0.445747 0.00509276 4.19084e-07 1.92648e-07 2.71439e-07
0.449388 0.00513395 4.21083e-07 1.93567e-07 2.64412e-07
0.453028 0.00517511 6.7028e-07 2.4747e-07 2.56039e-07
0.456667 0.00521626 6.74885e-07 2.49171e-07 2.52176e-07
0.460305 0.00525738 4.1981e-07 1.92981e-07 2.49692e-07
0.463942 0.00529848 3.35711e-07 1.71611e-07 2.42749e-07
0.467578 0.00533957 8.41472e-08 8.46218e-08 2.34123e-07
0.471213 0.00538063 4.2167e-07 1.93836e-07 2.28642e-07
